lambda_j,p_jump,lambda_a,alpha,delta0,k0,n,mean0,mean1,median0,median1,sc0,as0,ic0,sc1,as1,ic1,diff_mean,ci_lo,ci_hi,passes
0.2,0.2,4.0,0.05,4.0,2,30,191.16666666666666,173.3,157.5,196.5,295.53333333333336,-107.96666666666667,3.6,218.01666666666668,-65.15,20.433333333333334,-17.866666666666667,-81.735,37.434999999999974,False
0.2,0.2,4.0,0.05,4.0,3,30,219.83333333333334,173.3,186.0,196.5,349.8,-131.5,1.5333333333333334,218.01666666666668,-65.15,20.433333333333334,-46.53333333333333,-133.7,35.87083333333327,False
0.2,0.2,4.0,0.05,4.0,5,30,225.13333333333333,173.3,194.5,196.5,365.5,-124.46666666666667,-15.9,218.01666666666668,-65.15,20.433333333333334,-51.833333333333336,-150.60333333333332,40.5,False
0.2,0.2,4.0,0.1,4.0,2,30,82.03333333333333,75.3,139.0,161.0,295.46666666666664,-196.56666666666666,-16.866666666666667,272.25,-179.21666666666667,-17.733333333333334,-6.733333333333333,-50.166666666666664,29.434166666666655,False
0.2,0.2,4.0,0.1,4.0,3,30,133.1,75.3,169.5,161.0,352.0,-213.9,-5.0,272.25,-179.21666666666667,-17.733333333333334,-57.8,-115.235,-11.066666666666666,False
0.2,0.2,4.0,0.1,4.0,5,30,162.43333333333334,75.3,175.5,161.0,372.1666666666667,-203.6,-6.133333333333334,272.25,-179.21666666666667,-17.733333333333334,-87.13333333333334,-160.13333333333333,-25.3,False
0.2,0.2,4.0,0.2,4.0,2,30,37.8,52.333333333333336,123.5,143.5,292.0,-232.06666666666666,-22.133333333333333,294.26666666666665,-224.56666666666666,-17.366666666666667,14.533333333333333,-12.000833333333333,41.334166666666654,True
0.2,0.2,4.0,0.2,4.0,3,30,101.4,52.333333333333336,150.5,143.5,347.0,-230.16666666666666,-15.433333333333334,294.26666666666665,-224.56666666666666,-17.366666666666667,-49.06666666666667,-90.13333333333334,-12.565833333333345,False
0.2,0.2,4.0,0.2,4.0,5,30,141.23333333333332,52.333333333333336,163.0,143.5,364.0,-220.66666666666666,-2.1,294.26666666666665,-224.56666666666666,-17.366666666666667,-88.9,-145.8025,-39.7,False
0.2,0.2,4.0,0.3,4.0,2,30,27.533333333333335,63.53333333333333,117.0,146.5,274.06666666666666,-259.6333333333333,13.1,278.75,-233.15,17.933333333333334,36.0,6.732500000000001,67.73333333333333,True
0.2,0.2,4.0,0.3,4.0,3,30,86.4,63.53333333333333,136.5,146.5,325.7,-250.36666666666667,11.066666666666666,278.75,-233.15,17.933333333333334,-22.866666666666667,-62.50333333333333,12.534166666666655,False
0.2,0.2,4.0,0.3,4.0,5,30,124.0,63.53333333333333,142.5,146.5,338.8333333333333,-218.83333333333334,4.0,278.75,-233.15,17.933333333333334,-60.46666666666667,-113.13416666666667,-17.09916666666668,False
0.2,0.2,4.0,0.4,4.0,2,30,4.2,32.333333333333336,90.0,98.5,243.13333333333333,-237.43333333333334,-1.5,234.75,-188.71666666666667,-13.7,28.133333333333333,7.299166666666667,48.5,True
0.2,0.2,4.0,0.4,4.0,3,30,66.26666666666667,32.333333333333336,115.5,98.5,288.8,-220.66666666666666,-1.8666666666666667,234.75,-188.71666666666667,-13.7,-33.93333333333333,-59.5,-10.565833333333345,False
0.2,0.2,4.0,0.4,4.0,5,30,103.46666666666667,32.333333333333336,128.5,98.5,299.8333333333333,-195.76666666666668,-0.6,234.75,-188.71666666666667,-13.7,-71.13333333333334,-111.50083333333333,-34.69833333333336,False
0.2,0.2,4.0,0.5,4.0,2,30,-8.0,23.533333333333335,79.0,93.5,218.13333333333333,-232.43333333333334,6.3,219.18333333333334,-179.41666666666666,-16.233333333333334,31.533333333333335,6.033333333333333,59.03333333333333,False
0.2,0.2,4.0,0.5,4.0,3,30,51.0,23.533333333333335,103.0,93.5,259.3,-208.66666666666666,0.36666666666666664,219.18333333333334,-179.41666666666666,-16.233333333333334,-27.466666666666665,-56.3,-0.8333333333333334,False
0.2,0.2,4.0,0.5,4.0,5,30,86.76666666666667,23.533333333333335,111.5,93.5,267.6666666666667,-185.6,4.7,219.18333333333334,-179.41666666666666,-16.233333333333334,-63.233333333333334,-105.40166666666667,-25.63250000000001,False
0.2,0.2,4.0,0.05,8.0,2,30,307.56666666666666,185.46666666666667,213.5,182.5,374.46666666666664,-72.96666666666667,6.066666666666666,238.76666666666668,-62.733333333333334,9.433333333333334,-122.1,-227.77583333333334,-39.3,False
0.2,0.2,4.0,0.05,8.0,3,30,375.06666666666666,185.46666666666667,280.5,182.5,500.0,-134.8,9.866666666666667,238.76666666666668,-62.733333333333334,9.433333333333334,-189.6,-275.6716666666667,-113.1316666666667,False
0.2,0.2,4.0,0.05,8.0,5,30,451.3333333333333,185.46666666666667,366.5,182.5,657.3333333333334,-212.6,6.6,238.76666666666668,-62.733333333333334,9.433333333333334,-265.8666666666667,-360.43333333333334,-175.4316666666667,False
0.2,0.2,4.0,0.1,8.0,2,30,144.76666666666668,114.5,184.0,196.5,375.8666666666667,-215.66666666666666,-15.433333333333334,308.8833333333333,-178.48333333333332,-15.9,-30.266666666666666,-75.4025,8.334166666666656,False
0.2,0.2,4.0,0.1,8.0,3,30,232.23333333333332,114.5,247.0,196.5,497.6,-254.1,-11.266666666666667,308.8833333333333,-178.48333333333332,-15.9,-117.73333333333333,-179.23749999999998,-63.36583333333335,False
0.2,0.2,4.0,0.1,8.0,5,30,332.3666666666667,114.5,343.0,196.5,659.8333333333334,-326.2,-1.2666666666666666,308.8833333333333,-178.48333333333332,-15.9,-217.86666666666667,-295.1016666666667,-149.16583333333332,False
0.2,0.2,4.0,0.2,8.0,2,30,85.93333333333334,86.8,166.5,190.5,367.1333333333333,-269.46666666666664,-11.733333333333333,359.6,-259.26666666666665,-13.533333333333333,0.8666666666666667,-32.6,29.7,False
0.2,0.2,4.0,0.2,8.0,3,30,181.96666666666667,86.8,226.0,190.5,488.5,-289.9,-16.633333333333333,359.6,-259.26666666666665,-13.533333333333333,-95.16666666666667,-142.8675,-55.36666666666667,False
0.2,0.2,4.0,0.2,8.0,5,30,282.93333333333334,86.8,309.0,190.5,631.3333333333334,-333.6666666666667,-14.733333333333333,359.6,-259.26666666666665,-13.533333333333333,-196.13333333333333,-259.40166666666664,-143.1325,False
0.2,0.2,4.0,0.3,8.0,2,30,69.36666666666666,93.66666666666667,152.5,179.0,338.6,-287.1666666666667,17.933333333333334,348.46666666666664,-274.4,19.6,24.3,-7.466666666666667,53.23499999999998,True
0.2,0.2,4.0,0.3,8.0,3,30,157.8,93.66666666666667,209.0,179.0,449.0,-304.9,13.7,348.46666666666664,-274.4,19.6,-64.13333333333334,-109.97166666666666,-27.265833333333344,False
0.2,0.2,4.0,0.3,8.0,5,30,250.56666666666666,93.66666666666667,273.0,179.0,585.5,-343.3666666666667,8.433333333333334,348.46666666666664,-274.4,19.6,-156.9,-219.33333333333334,-106.43333333333334,False
0.2,0.2,4.0,0.4,8.0,2,30,35.13333333333333,61.1,114.0,139.0,302.8666666666667,-268.93333333333334,1.2,314.8333333333333,-241.3,-12.433333333333334,25.966666666666665,0.2991666666666674,50.0,True
